time_s,reference_deg,angle_deg,error_deg,velocity_rad_s,tension_N,moment_arm_m,torque_raw_Nm,torque_applied_Nm,P_Nm,I_Nm,damping_Nm,saturated,fixed_excitation,TRIlong_activation,TRIlong_fiber_length_m,TRIlong_path_length_m,TRIlong_tendon_force_N,TRIlat_activation,TRIlat_fiber_length_m,TRIlat_path_length_m,TRIlat_tendon_force_N,TRImed_activation,TRImed_fiber_length_m,TRImed_path_length_m,TRImed_tendon_force_N,BIClong_activation,BIClong_fiber_length_m,BIClong_path_length_m,BIClong_tendon_force_N,BICshort_activation,BICshort_fiber_length_m,BICshort_path_length_m,BICshort_tendon_force_N,BRA_activation,BRA_fiber_length_m,BRA_path_length_m,BRA_tendon_force_N
8.06,52.24760115200001,50.20894099570351,2.038660156296497,0.6004878830564974,26.257456244494026,0.088859489082413,2.3332241464895542,2.3332241464895542,1.0674399616978825,1.2657841847916715,-0.0,0,0.01,0.01,0.15626780875252388,0.29804607124613797,38.866403523645154,0.01,0.09048406807597421,0.18704738238205726,7.106010494249098,0.01,0.0854528816542093,0.17467518586301675,6.807102808877746,0.01,0.12979602924850775,0.4039596951799579,19.21014522266374,0.01,0.12829836012010157,0.32107222623058523,3.3509991948484124,0.01,0.08184480478678974,0.13548803906681114,8.393189764849986
8.07,52.62119137881482,50.552499615661425,2.068691763153397,0.5984724875858248,26.3892908079903,0.08921368429365756,2.354285858877566,2.354285858877566,1.083164474277405,1.271121384600161,-0.0,0,0.01,0.01,0.15639537111817495,0.2981806334031506,39.13805003132311,0.01,0.0906159249475492,0.18718194453906992,7.108211886590928,0.01,0.0855843755882733,0.1748097480200294,6.810666885309577,0.01,0.12959538182695918,0.40374079072870483,18.91115120940274,0.01,0.12807962442358742,0.32085332177933223,3.3495728498337667,0.01,0.08176063458156468,0.1354037790671499,8.386806786469355
8.08,52.99431596562964,50.89489358507483,2.0994223805548065,0.596425867089635,26.525641996188114,0.08956586970581619,2.3757921948937106,2.3757921948937106,1.0992549879221625,1.2765372069715482,-0.0,0,0.01,0.01,0.15652227663554188,0.29831450369355667,39.40993602428109,0.01,0.09074711768858686,0.18731581482947596,7.110230156072973,0.01,0.08571520792371509,0.17494361831043548,6.8140526933054195,0.01,0.12939454287166827,0.40352171569434814,18.61547463972782,0.01,0.12786070548863004,0.32063424674497554,3.348253636446744,0.01,0.0816761531736384,0.1353192105796931,8.380618323574097
8.09,53.36690874799999,51.23612892770225,2.130779820297751,0.5944310436517062,26.666062561441258,0.0899160564618068,2.3977071868886246,2.3977071868886246,1.1156737049774657,1.282033481911159,-0.0,0,0.01,0.01,0.1566485251426829,0.2984476849584283,39.682215312027566,0.01,0.09087764392535538,0.18744899609434762,7.112204676549389,0.01,0.08584537675426007,0.1750767995753071,6.817393563757642,0.01,0.12919352956380872,0.40330247913551653,18.322945994203177,0.01,0.12764162611039218,0.3204150101861439,3.3469254473772327,0.01,0.08159136955244359,0.13523434005394058,8.374443795281847
8.1,53.738903703703684,51.576256926267945,2.162646777435745,0.592562968460216,26.809835141444232,0.09026430197670533,2.4199710551530087,2.4199710551530087,1.1323592047169628,1.287611850436046,-0.0,0,0.01,0.01,0.1567741335027256,0.2985801976845016,39.955064404878705,0.01,0.09100751893398755,0.1875815088204209,7.114265315843597,0.01,0.08597489774509952,0.1752093123013804,6.820813853029571,0.01,0.12899233193854243,0.4030830607111441,18.03336577982988,0.01,0.1274223789185645,0.3201955917617714,3.345478702696467,0.01,0.0815062811108656,0.13514916248218653,8.368112693848369
8.11,54.11023497051849,51.91536848416589,2.1948664863525997,0.5908850103594101,26.956010195040136,0.09061070364801277,2.4425030513155925,2.4425030513155925,1.1492294048559615,1.293273646459631,-0.0,0,0.01,0.01,0.1568991334926977,0.2987120776538329,40.22867157373794,0.01,0.09113677356907897,0.18771338878975216,7.116526065489384,0.01,0.08610380204597783,0.17534119227071165,6.824422809548526,0.01,0.12879091522014738,0.4028634137530528,17.7465177074397,0.01,0.1272029288119811,0.3199759448036802,3.3438157410079503,0.01,0.08142087456671337,0.13506366244263313,8.36147321431213
8.120000000000001,54.48083686400005,52.253586648418164,2.227250215581882,0.5894460479963924,27.103454323764907,0.09095539077290545,2.465205279313631,2.465205279313631,1.1661854858297205,1.2990197934839107,-0.0,0,0.01,0.01,0.15702356901589465,0.2988433729019339,40.50322531343424,0.01,0.09126545148658223,0.1878446840378532,7.1190794145372855,0.01,0.08623213350271586,0.1754724875188127,6.828309149194934,0.01,0.12858922337076373,0.4026434696364353,17.46218244621457,0.01,0.12698321675923893,0.31975600068706267,3.3418556389094163,0.01,0.08133512742945875,0.13497781567503017,8.354399975031509
8.13,54.85064389525928,52.59105767860052,2.2595862166587652,0.5882782997077192,27.250906488135737,0.09129851509334455,2.4879672973143814,2.4879672973143814,1.1831165764013218,1.3048507209130595,-0.0,0,0.01,0.01,0.15714749278261297,0.2989741401426843,40.778902826705355,0.01,0.09139360580428914,0.1879754512786036,7.121991789795754,0.01,0.08635994531114984,0.1756032547595631,6.8325366510864045,0.01,0.12838718367471982,0.4024231432264769,17.180151220996592,0.01,0.1267631647732839,0.3195356742771043,3.339538202534716,0.01,0.08124900993904112,0.1348915911099536,8.346800421428904
8.14,55.21959078874076,52.92794111219889,2.2916496765418777,0.5873959866441979,27.397039294325314,0.09164024044936347,2.510671268532631,2.510671268532631,1.1999049647375648,1.310766303795066,-0.0,0,0.01,0.01,0.15727096262762108,0.29910444084168697,41.05585913939674,0.01,0.09152129536806757,0.18810575197760626,7.12530033240187,0.01,0.08648729628213549,0.17573355545856575,6.8371410345648185,0.01,0.12818471213074764,0.4022023391275328,16.900238536641584,0.01,0.12654268181126957,0.3193148701781602,3.336826915349277,0.01,0.08116248738001326,0.13480495325027986,8.338619573792768
8.15,55.58761250000002,53.26439931926784,2.3232131807321856,0.5867948819152984,27.54052233433252,0.09198073205554368,2.5331974055039557,2.5331974055039557,1.2164315768852019,1.3167658286187538,-0.0,0,0.01,0.01,0.1573940376477584,0.29923433713370473,41.334217407833506,0.01,0.09164858080862717,0.188235648269624,7.129011203152603,0.01,0.08661424690260026,0.1758634517505835,6.842128303345654,0.01,0.12798171938638553,0.4019809584239068,16.622293375348427,0.01,0.1263216703071001,0.31909348947453414,3.3337106826205463,0.01,0.08107552265592159,0.13471786478628234,8.329842870375119
